Date,Open,High,Low,Close,Volume
2015-05-11,156.76,156.76,152.9,153.38,15387
2015-05-12,153.38,153.38,150.73,150.73,7700
2015-05-13,151.12,154.65,150.88,152.03,16811
2015-05-14,151.5,152.03,149.91,151.12,8887
2015-05-15,150.78,154.11,150.15,151.03,12284
2015-05-18,152.22,153.19,151.12,151.12,10703
2015-05-19,151.27,158.9,151.27,154.11,22354
2015-05-20,155.56,155.56,150.98,151.03,12387
2015-05-21,152.22,152.85,149.57,150.3,6394
2015-05-22,150.54,150.98,148.55,148.89,5613
2015-05-26,151.5,151.5,147.44,147.67,10134
2015-05-27,147.67,148.55,146.53,147.49,10020
2015-05-28,147.39,148.74,145.17,145.56,12336
2015-05-29,145.95,145.95,140.38,140.92,16666
2015-06-01,142.47,142.47,138.84,140.04,17416
2015-06-02,141.45,142.32,139.61,141.26,13053
2015-06-03,142.08,147.3,140.24,145.66,19927
2015-06-04,144.78,145.41,141.94,141.94,12800
2015-06-05,141.3,141.98,139.94,140.48,12545
2015-06-08,141.74,141.74,136.27,137.1,17641
2015-06-09,137.88,139.76,137.83,139.08,18512
2015-06-10,139.18,139.81,137.44,139.37,9558
2015-06-11,140.38,146.43,140.14,143.53,10842
2015-06-12,141.74,144.44,141.74,143.38,17666
2015-06-15,144,144,141.26,141.64,20960
2015-06-16,142.08,143.58,139.42,141.74,11862
2015-06-17,143.19,143.19,138.12,138.5,10009
2015-06-18,139.18,143.76,137,143.14,11192
2015-06-19,144.39,144.39,136.95,137.44,13639
2015-06-22,141.06,141.06,136.23,137.97,16684
2015-06-23,138.64,140.33,138.02,139.94,11826
2015-06-24,140.19,140.92,136.86,138.84,10798
2015-06-25,138.89,140.43,137.73,139.85,6106
2015-06-26,139.94,142.08,138.84,141.55,11508
2015-06-29,137.93,141.84,137.59,140.96,18306
2015-06-30,142.18,142.18,137.68,137.68,13613
2015-07-01,139.9,143.48,137.73,142.52,15251
2015-07-02,144,144.83,143.24,144.1,11361
2015-07-03,144.54,147.06,143.14,146.24,10971
2015-07-06,145.9,147.58,142.9,146.53,15476
2015-07-07,146.58,146.97,145.17,145.7,17496
2015-07-08,144.98,147.63,144.98,146.87,9191
2015-07-09,143.91,150.35,143.86,149.37,16721
2015-07-10,150.78,152.8,148.5,152.27,15061
2015-07-13,152.71,153.77,150.2,153.24,17635
2015-07-14,152.22,153.72,151.73,153.05,9882
2015-07-15,153.05,153.29,148.89,149.91,9123
2015-07-16,150.25,153.72,150.25,152.8,8758
2015-07-17,152.56,153.14,151.22,152.71,7771
2015-07-20,152.71,154.31,150.01,150.88,11822
2015-07-21,150.64,151.98,149.28,150.49,9237
2015-07-22,148.11,149.23,147.39,147.97,8192
2015-07-23,149.23,149.57,147.87,148.79,7939
2015-07-24,149.81,159.04,149.81,156.08,37009
2015-07-27,154.84,157.54,154.84,155.66,9243
2015-07-28,156.33,158.56,155.66,157.49,7719
2015-07-29,158.9,160.53,157.98,160.44,16047
2015-07-30,161.41,163.78,159.47,163.63,15634
2015-07-31,163.63,167.35,162.47,166.91,13638
2015-08-03,169.52,170.01,165.37,166.24,9991
2015-08-04,165.32,168.56,165.32,167.74,10385
2015-08-05,168.17,173.54,167.69,170.97,18272
2015-08-06,170.01,172.72,170.01,171.26,11174
2015-08-07,169.91,172.53,169.33,170.92,7177
2015-08-10,171.12,172.72,170.58,171.36,9346
2015-08-11,171.85,172.14,168.95,169.43,13507
2015-08-12,168.66,172.38,167.88,169.05,13002
2015-08-13,170.06,172.19,169.38,170.97,7005
2015-08-14,170.63,176.58,170.58,174.26,11599
2015-08-17,176.44,177.02,173.88,175.47,12174
2015-08-18,174.64,175.52,173.4,175.03,6006
2015-08-19,174.98,175.95,172.82,172.82,8205
2015-08-20,168.76,171.17,167.69,169.82,10052
2015-08-21,163.34,176.24,159.67,170.25,23192
2015-08-24,163.34,167.11,162.43,165.17,16240
2015-08-25,164.8,173.01,164.8,168.17,10722
2015-08-26,167.2,167.2,163.68,163.82,12427
2015-08-27,169.15,173.63,166.82,171.12,24473
2015-08-28,172.09,173.16,166.91,169.38,16105
2015-08-31,168.08,172.72,167.98,172.72,7531
2015-09-01,170.97,172.09,166.63,168.71,9424
2015-09-02,172.04,173.78,168.32,172.96,8961
2015-09-03,173.83,177.65,172.96,175.66,10953
2015-09-04,174.02,174.02,169.57,170.11,15773
2015-09-07,171.75,171.75,169,170.4,4583
2015-09-08,170.2,173.73,170.06,172.53,7185
2015-09-09,175.42,175.42,172.82,173.35,6059
2015-09-10,172.43,172.77,168.56,169.82,9891
2015-09-11,170.78,170.78,165.22,167.69,8831
2015-09-14,166.82,173.3,166.82,172.23,9490
2015-09-15,173.11,177.07,169.91,176.29,8167
2015-09-16,176.05,180.94,175.47,178.99,10595
2015-09-17,180.64,180.64,177.85,178.31,10159
2015-09-18,176.88,180.45,174.64,175.37,39393
2015-09-21,173.11,177.65,173.11,176.78,5671
2015-09-22,177.12,177.12,171.65,172.33,7338
2015-09-23,170.25,175.66,167.54,175.37,14175
2015-09-24,172.82,174.17,167.98,169.33,4801
2015-09-25,167.69,172.04,167.69,170.92,11128
2015-09-28,170.63,171.55,167.74,168.81,5648
2015-09-29,165.85,176.44,165.85,175.42,7846
2015-09-30,177.12,179.96,175.61,178.8,7048
2015-10-01,179.28,180.6,173.78,175.42,4640
2015-10-02,175.61,178.6,173.59,175.56,5989
2015-10-05,177.7,180.98,177.07,179.43,11091
2015-10-06,180.6,184.31,179.14,183.68,10208
2015-10-07,184.61,186.54,182.28,186.3,12889
2015-10-08,187.6,187.6,185.53,186.87,6342
2015-10-09,187.45,187.65,185.82,186.92,6623
2015-10-12,186.54,187.65,184.85,186.1,6429
2015-10-13,187.26,187.26,178.9,179.62,5786
2015-10-14,178.8,181.76,178.7,181.47,2831
2015-10-15,181.95,186.39,181.23,184.61,3392
2015-10-16,185.58,185.58,183.25,183.63,5259
2015-10-19,181.71,186,181.71,185.38,2944
2015-10-20,184.65,185.63,183.39,185.33,3045
2015-10-21,185.58,186.92,184.7,186.34,5911
2015-10-22,186.15,188.86,186.15,188.81,5607
2015-10-23,189.49,190.11,188.62,189.77,8424
2015-10-26,189.82,191.18,187.89,190.89,6498
2015-10-27,189.92,190.6,188.76,189.92,4756
2015-10-28,190.01,195,190.01,194.8,5957
2015-10-29,194.27,197.79,193.93,196.73,4312
